DIAGRAMA SECCION WEB,,,,,,,
Título principal,Tienda de alimentos,,,,,,
Subtítulo descriptivo,Alimentos agroecológicos 100 % mexicanos — compra directa o por suscripción,,,,,,
,,,,,,,
Canastas de temporada,Descripción + tabla con tamaños/precios + botón 'Comprar',Tabla visual clara,Categoría principal de compra,,,,
GALLETAS Y PAN ARTESANAL,,,,,,,
TEXTOS/FOTOS/SEO,,,,,,,
SKU,PRODUCTO,CATEGORIA,PRECIO FINAL,LIGA FOTOS,DESCRIPCIÓN DE PRODUCTO,META TITLE,META DESCRIPTION
1885,CANASTA INDIVIDUAL SUSCRIPCIÓN,CANASTAS AGROECOLÓGICAS, $290.00 ,https://drive.google.com/file/d/1kgzbfd-WoKWqU_VjvzFlMwH9XyCgPLFr/view?usp=drive_link,"Esta canasta de 3.5 kg que incluye una selección de verduras cultivadas por la Red  Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar una variedad de fruta proveniente de Puebla.¡Haz tu pedido ahora o suscríbete para recibir tu canasta regularmente!",Canasta Fruta y Verdura Agroecológicas 3.5 kg | Arca Tierra,La canasta individual tiene 3.5 kilos de vegetales y algunas frutas de temporada producidos por la Red arca tierra. Suscríbete hoy
,CANASTA INDIVIDUAL COMPRA UNICA,CANASTAS AGROECOLÓGICAS, $305.00 ,,,,
1886,CANASTA MEDIA SUSCRIPCION,CANASTAS AGROECOLOGICAS, $350.00 ,https://drive.google.com/file/d/16NxOAlDhiuJHd1iUgTX18JEf8xEH5toO/view?usp=drive_link,"Esta canasta de 5 kg incluye una selección de verduras cultivadas por la Red  Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar una variedad de fruta proveniente de Puebla.
Esta canasta es ideal para 2 a 3 personas.",Canasta Fruta y Verdura Agroecológicas 5 kg | Arca Tierra,Canasta tamaño Media (5 kg) con selección de vegetales y frutas de temporada producidos por la Red arca tierra. Suscríbete hoy.
,CANASTA MEDIA COMPRA UNICA,CANASTAS AGROECOLOGICAS, $367.00 ,,,,
1887,CANASTA COMPLETA SUSCRIPCION,CANASTAS AGROECOLOGICAS, $510.00 ,https://drive.google.com/file/d/1mz_qxp285KT3G7UU3mwk4fJ2BHGYFFmq/view?usp=drive_link,"Esta canasta con 7.5 kg incluye una selección de  hojas verdes, raíces, hortalizas y verduras cultivadas por la Red Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar una o dos variedades de fruta proveniente de Puebla.
Ideal para 2 a 3 personas.¡Haz tu pedido ahora o suscríbete para recibir tu canasta regularmente!",,
,CANASTA COMPLETA COMPRA UNICA,CANASTAS AGROECOLOGICAS, $535.00 ,,,,
1888,CANASTA FAMILIAR SUSCRIPCION,CANASTAS AGROECOLOGICAS, $670.00 ,https://drive.google.com/file/d/1zTtzCzgL-_j0yWX57u56WC6W4GZFRRQz/view?usp=drive_link,"En esta canasta de 10 kg hay una selección de verduras cultivadas por la Red  Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar variedad de fruta proveniente de Puebla.
Este tamaño es ideal para 4 a 6 personas. 
¡Haz tu pedido ahora o suscríbete para recibir tu canasta regularmente!",,
,CANASTA FAMILIAR COMPRA UNICA,CANASTAS AGROECOLOGICAS, $703.00 ,,,,
1889,CANASTA BÁSICA INDIVIDUAL SUSCRIPCION,CANASTAS AGROECOLOGICAS, $447.45 ,https://drive.google.com/file/d/1Dt6wFq5f9_GeXzH3sPzdvzL8dLvtiJCO/view?usp=drive_link,"Perfecta para una o dos personas,  ideal para quienes buscan cocinar más en casa con alimentos frescos y saludables.
Esta es una selección de 3.5 kg de frutas y verduras frescas de temporada combinada con alimentos esenciales que te conectan con el campo mexicano.",,
,CANASTA BÁSICA INDIVIDUAL COMPRA UNICA,CANASTAS AGROECOLOGICAS, $471.00 ,,,,
1890,CANASTA BASICA MEDIA SUSCRIPCION,CANASTAS AGROECOLOGICAS, $971.85 ,https://drive.google.com/file/d/1_BkqiKadAi5PNh_SgmIgc2lYotmmFY56/view?usp=drive_link,"Suscríbete a esta canasta y recibirás:

5 k de verdura y fruta de temporada
500 g de queso Oaxaca de la cuenca lechera de Xochimilco
24 tortillas de maíz nativo
18 huevos frescos de gallinas de libre pastoreo en las chinampas
500 g milanesas de pollo de origen regenerativo
500 g bistec de res de origen regenerativo
Es el combo perfecto para una alimentación rica y variada, directamente del campo a tu mesa.",,
,CANASTA BASICA MEDIA COMPRA UNICA,CANASTAS AGROECOLOGICAS," $1,023.00 ",,,,
1891,CANASTA BASICA FAMILIAR SUSCRIPCION,CANASTAS AGROECOLOGICAS," $1,413.60 ",https://drive.google.com/file/d/1vgdGZ5ofOX0INA6soNqZwBD00QsqtkbN/view?usp=drive_link,"La Canasta Básica Familiar es nuestro combo más completo, con aproximadamente 13 kg de una selección de verduras frescas y frutas de temporada, así como productos básicos de despensa para asegurar que todos en casa disfruten de alimentos nutritivos y de origen local.",,
,CANASTA BASICA FAMILIAR COMPRA UNICA,CANASTAS AGROECOLOGICAS," $1,488.00 ",,,,
P-WEB-ACE-005,ACEITE DE AJONJOLI REFINADO,ACEITES Y GRASAS, $159.00 ,,"Descubre la versatilidad del aceite de ajonjolí 100% puro, un aceite vegetal comestible de sabor, color y olor neutral, ideal para cocinar. Gracias a su alto punto de humo, es perfecto para freír, asegurando que tus platillos queden crujientes y deliciosos. Este aceite también es una excelente base para emulsiones, como dips, aderezos y mayonesas, y se utiliza en aplicaciones farmacéuticas, nutracéuticas y cosméticas. ¡Incorpora el aceite de ajonjolí puro en tus recetas y disfruta de su calidad y versatilidad hoy mismo!",Aceite refinado de ajonjolí de origen orgánico | Arca Tierra,"Prueba este delicioso aceite de ajonjolí 100% puro y producido de forma orgánica en Guanajuato. Es ideal para freír y elaborar dips, aderezos y mayonesas. "
P-WEB-ACE-004,ACEITE DE AJONJOLI TOSTADO,ACEITES Y GRASAS, $159.00 ,,100% Aceite virgen de ajonjolí tostado: color café oscuro con un fuerte aroma y sabor a semilla de ajonjolí tostada. Ideal para cocinar a fuego medio-bajo (saltear) y como condimento en platillos terminados (aderezar).,Aceite artesanal orgánico de ajonjolí tostado | Arca Tierra,"Prueba este delicioso aceite 100% de puro ajonjolí tostado producido de forma orgánica en Guanajuato. Ideal para freír y elaborar dips, aderezos y mayonesas. "
P-WEB-ACE-002,ACEITE DE COCO 450 ML,ACEITES Y GRASAS, $107.00 ,," Aceite de coco extra virgen, 100% natural, comestible, prensado en frío, no hidrogenado, sin olor ni sabor. Este producto se hace líquido a más de 25º C.

Ideal para repostería y alternativa de uso de otros aceite vegetales para cocinar.

",Aceite de Coco Natural y Extra Virgen 425 g I Arca Tierra,"Aceite de coco extra virgen, 100% natural y sin olor. Prensado en frío, no hidrogenado. Ideal para cocinar, hornear o sustituir otros aceites."
P-WEB-ACE-003,ACEITE DE OLIVA 750 ML,ACEITES Y GRASAS, $250.00 ,,"Prueba este delicioso aceite de oliva extra virgen. Está elaborado de forma agroecológica, y proviene de la cosecha fresca y más reciente de los productores.",Aceite de oliva extra virgen y agroecológico  | Arca Tierra,"El aceite de oliva extra virgen de primera extracción en frio via procesos mecánicos sin intervención de calor o químicos. 
Este es un aceite fresco – de la cosecha mas reciente – provenientes directamente de los productores. "
P-WEB-SEC-001,AJONJOLI 100 G,"GRANOS, SEMILLAS Y CEREALES", $18.00 ,https://drive.google.com/file/d/132WBIW_A6X73g3RsF-08zIRh4d28_yyz/view?usp=drive_link,"Este ajonjolí es cultivado por más de 600 productores de Comunidades Campesinas en Camino. Desde 1995, impulsan un modelo justo que respeta la tierra y los derechos campesinos. Úsalo para pan casero, granola, aderezos, hummus o salsas.",Ajonjolí Agroecológico 100 g I Arca Tierra,"Este ajonjolí se cultiva de forma agroecológica por comunidades campesinas en el Istmo de Tehuantepec, Oaxaca."
P-WEB-SEC-002,AMARANTO 250 G,"GRANOS, SEMILLAS Y CEREALES", $50.00 ,https://drive.google.com/file/d/1KVLtvNiF1nSM2sYzS5j2Lp0b3D4nT8lf/view?usp=drive_link,"Descubre el poder nutritivo de las semillas de amaranto, cultivadas de forma agroecológica en el pueblo de Tuyehualco, una de las joyas del oriente de la Ciudad de México, en la alcaldía Xochimilco. Estas semillas están disponibles para compra a granel y son perfectas para incorporar en tu dieta diaria.",Semillas de amaranto de origen agroecológico | Arca Tierra,"Descubre las nutritivas semillas de amaranto agroecológicas de Tuyehualco, las tenemos disponibles a granel. Una importante fuente de fibra para tu cuerpo."
P-WEB-SEC-074,AMARANTO REVENTADO,"GRANOS, SEMILLAS Y CEREALES", $50.00 ,https://drive.google.com/file/d/1_-tMeBY_nLYVjRpS0Aq2s67K5BF_h3lD/view?usp=drive_link,"Descubre el poder nutritivo del amaranto reventado, cultivado de forma agroecológica en el pueblo de Tuyehualco, una de las joyas del oriente de la Ciudad de México, en la alcaldía Xochimilco. Estas semillas están disponibles para compra a granel y son perfectas para incorporar en tu dieta diaria.
",Amaranto reventado de origen agroecológico | Arca Tierra,"Disfruta este rico amaranto reventado de Tuyehualco, disponible a granel. Es una importante fuente de fibra que puedes disfrutar diariamente en tus alimentos."
P-WEB-PRO-001,ARRACHERA  500 G,PROTEINA ANIMAL, $260.00 ,,,Arrachera de Res de Origen Regenerativo 500 g | Arca Tierra,"Ideal para asar. Esta arrachera de origen regenerativo proviene del rancho de Santa Pradera, ubicados en Capilla de Guadalupe, Jalisco. "
P-WEB-SEC-003,ARROZ BLANCO 500 G,"GRANOS, SEMILLAS Y CEREALES", $35.00 ,https://drive.google.com/file/d/10A-8wIr4-HWufFPFYbKRNCLWFRNMZ0kK/view?usp=drive_link,"El arroz agroecológico de Morelos cuenta con denominación de origen desde el año 2012 y es uno de mayor calidad a nivel mundial. Producido por el Consorcio Arrocero Morelense, es ideal para tus guisos y postres.",Arroz Blanco de Morelos 500 g I Arca Tierra,Arroz agroecológico proveniente de Morelos. Uno de los arroces más nutritivos y ricos de México. Compra a granel a partir de 500gr.
P-WEB-SEC-004,ARROZ INTEGRAL 500 G,"GRANOS, SEMILLAS Y CEREALES", $35.00 ,https://drive.google.com/file/d/1qchC13pks1D_u228i-9Wv5BxoiXuj6tv/view?usp=drive_link,"El arroz agroecológico de Morelos cuenta con denominación de origen desde el año 2012 y es uno de mayor calidad a nivel mundial. Contiene más fibra, vitamina B y minerales (como magnesio, hierro, zinc) que el arroz blanco. Producido por el Consorcio Arrocero Morelense, es ideal para tus guisos y postres.",Arroz Integral de Morelos 500 g I Arca Tierra,Arroz agroecológico proveniente de Morelos. Uno de los arroces más nutritivos y ricos de México. Compra a granel a partir de 500gr.
P-WEB-SEC-005,AVENA 500 G,"GRANOS, SEMILLAS Y CEREALES", $26.00 ,https://drive.google.com/file/d/10qTmD35MmGCjq5hMnLISq_5s7UvYpRcS/view?usp=drive_link,"Adquiere hojuelas de avena orgánica cultivadas mediante prácticas agroecológicas en el municipio de Mocorito, Sinaloa. Disponible para compra al granel a partir de 500 gramos.",Avena Orgánica en Hojuelas al Granel 500gr | Arca Tierra,"Avena orgánica en hojuelas, cultivada con métodos agroecológicos. Proveniente del municipio de Mocorito en Sinaloa. Cómprala al granel a partir de 500grs. "
P-WEB-SEC-079,AZUCAR ORGANICA ZULKA 500 G,ENDULZANTES, $24.70 ,https://drive.google.com/file/d/1HdYIfk9Bf_kztq9VE7fabJvfYHcpXZtY/view?usp=drive_link,"Prueba esta opción de azúcar de pura de caña certificado como orgánico por USDA y verificado por el Proyecto Non-GMO, que se cultiva y cosecha mediante métodos agrícolas respetuosos con el medio ambiente. Este método de cultivo orgánico garantiza una mayor conservación de los nutrientes, ya que está libre de elementos artificiales o químicos durante todo el proceso.
",Azúcar pura de caña y certificación orgánica  | Arca Tierra,"Compra esta azúcar pura de caña producida en Sinaloa con certificación orgánica. Libre de elementos artificiales, ideal para endulzar tus bebidas y alimentos."
P-WEB-PRO-002,BISTEC DE RES 500 G,PROTEINA ANIMAL, $171.00 ,https://drive.google.com/file/d/1Rk9Osdr42imRI8IUzYZqGQBlUYaKYTCL/view?usp=drive_link,"Disfruta el bistec de carne de res de Rancho 555, expertos en ganadería regenerativa con más de 15 años regenerando suelos y ecosistemas en Veracruz. 

Ideal para asar o cocinar en guisados sencillos y deliciosos.",Bistec de Res de Origen Regenerativo 500 g | Arca Tierra,
P-WEB-SEC-006,CACAHUATE 100 G,"GRANOS, SEMILLAS Y CEREALES", $19.00 ,https://drive.google.com/file/d/1YM1E-XzolOajtBPBLURLxO5dQ8M9lyDt/view?usp=drive_link,"Abastece tu despensa con cacahuetes naturales agroecológicos y disfruta de su auténtico sabor, crujiente y saludable. Adquiérelos al granel desde 100 gramos.",Cacahuate Natural Orgánico al Granel 100 g | Arca Tierra,
P-WEB-SEC-007,CACAO EN POLVO 250 G,"CAFE, CACAO Y CHOCOLATE", $140.00 ,https://drive.google.com/file/d/1ESp9w8neFa7Pv3nBu0n9zOrHr5aiz_wB/view?usp=drive_link,"Descubre el cacao en polvo orgánico 100% mexicano. Sin azúcares añadidos, elaborado únicamente con cacao puro y orgánico de Comacalco, Tabasco. Presentación de 250 gramos.",Cacao Orgánico en Polvo Sin Azúcar 250 g | Arca Tierra,"Cacao en polvo orgánico 100% mexicano. Libre de azúcares, su único ingrediente es cacao puro y orgánico. Proveniente de Comacalco, Tabasco. Contiene 250 gramos."
P-WEB-SEC-008,CACAO EN POLVO 500 G,"CAFE, CACAO Y CHOCOLATE", $205.00 ,https://drive.google.com/file/d/1duJd_yCQwM7_plBg_ovj4GKZp9ehr9o0/view?usp=drive_link,"Descubre el cacao en polvo orgánico 100% mexicano. Sin azúcares añadidos, elaborado únicamente con cacao puro y orgánico de Comacalco, Tabasco. Presentación de 500 gramos.",Cacao Orgánico en Polvo Sin Azúcar 500 g | Arca Tierra,"Cacao en polvo orgánico 100% mexicano. Libre de azúcares, su único ingrediente es cacao puro y orgánico. Proveniente de Comacalco, Tabasco. Contiene 500 gramos."
P-WEB-SEC-009,CAFE DE GRANO 500 G,"CAFE, CACAO Y CHOCOLATE", $130.00 ,,"Descubre nuestro café orgánico tostado de primera calidad, con un tostado perfecto que realza su sabor. Presentación en grano para conservar su frescura y moler en casa. Está disponible desde 500 g.
",Café Serenata Tostado Orgánico en Grano 500gr | Arca Tierra,"Café orgánico tostado de la mejor calidad: con tostado óptimo que realza su sabor. Presentación en grano, para moler en casa. Disponible a partir de 500 g."
P-WEB-SEC-011,CAFE MOLIDO 500 G,"CAFE, CACAO Y CHOCOLATE", $130.00 ,https://drive.google.com/file/d/170V4gxCvY2GqZMpHnnULBFnBIdtSzaqU/view?usp=drive_link,"Descubre nuestro café orgánico tostado de primera calidad, con un tostado perfecto que realza su sabor. Molido para preparar en casa, disfrutando lo mejor.",Café Serenata Tostado Orgánico Molido 500 g | Arca Tierra,Café orgánico tostado de la mejor calidad: con tostado óptimo que realza su sabor. Ya viene molido para su fácil preparación. Disponible a partir de 500 g.
P-WEB-SEC-085,CALDO DE HUESO 9 G,PROTEINA ANIMAL, $127.00 ,,"Caldo de huesos listo para consumir.Esta rica infusión mineral está hecha con huesos de carne de animales sanos que se cuecen lentamente a baja temperartura por más de 18 horas y pasa por proceso de liofilización conservando sus propiedades. 

Paleo · Keto · SIN Gluten
Sin Conservadores, sin Saborizantes , sin Hormonas

Mejora la salud intestinal y la digestión.
Ayuda en la reparación y el crecimiento muscular. 

Para consumir, sólo vierte el contenido del sobre en una taza (240ml) de agua bien caliente, mezcla con una cuchara y esta listo.
Se puede agregar limón o condimentar al gusto.
",Caldo de huesos natural liofilizado en polvo | Arca Tierra,Disfruta de esta rica infusión mineral hecha naturalmente con huesos y carne de animales sanos. Un forma deliciosa de mejorar tu salud intestinal y digestiva.
P-WEB-PRO-021,CALDO DE HUESO DE RES 700 ML,PROTEINA ANIMAL, $120.00 ,https://drive.google.com/file/d/1ImPl8-q7b5bgaEHZhQY9ZYKW_4-s9rCA/view?usp=drive_link,"Delicioso caldo de huesos elaborado con carne  y huesos de res de Rancho Risueño, sazonado con cebolla, ajo, pimienta negra, apio, zanahoria, vinagre de manzana y flor de sal de Colima. Producto congelado. El caldo de huesos aporta minerales, aminoácidos y colágeno. Contribuyen a la salud de articulaciones, piel, cabello, uñas y sistema digestivo. ",Caldo de Huesos de Res Risueño 500 ml l Arca Tierra, Disfruta de un caldo de huesos delicioso y saludable producido en Veracruz con huesos de carne de res de origen megadiverso.
P-WEB-SEC-012,CANELA 50 G,ESPECIAS, $60.00 ,https://drive.google.com/file/d/1yv_2R9Ogkde-Sf-WmExj9M38sNaSNdWS/view?usp=drive_link,"Esta canela entera proviene del Consorcio Morelense Santa Anita, una comunidad comprometida con prácticas agroecológicas que cuidan la tierra y tu salud. Cultivada sin agroquímicos, secada al sol y seleccionada a mano, su aroma es cálido, intenso y natural.
Perfecta para infusiones, postres, guisos o para perfumar tu cocina con lo que el campo sabe dar.

",,
P-WEB-SEC-013,CARDAMOMO 20 G,ESPECIAS, $77.00 ,https://drive.google.com/file/d/127MDfl_yCW7uKQyPcnc5rM7aqJo8cBNy/view?usp=drive_link,"Este cardamomo proviene de Chiapas, donde se cultiva bajo prácticas agroecológicas que respetan la tierra y la biodiversidad local. Su producción fomenta el comercio justo, asegurando mejores condiciones para las familias productoras.

Con un aroma intenso y especiado, es ideal para infusiones, currys, repostería y mezclas de chai casero.",,
P-WEB-PRO-003,CARNE DE PAVO PARA HAMBURGUESA 500 G,PROTEINA ANIMAL, $220.00 ,https://drive.google.com/file/d/1aeiBzGbzJK4mEMqzfrPpDyRSFQNO4O_C/view?usp=drive_link,"Prueba las hamburguesas de pavo regenerativo, criado de manera sostenible por Granja Paraíso Gourmet en Amanalco. Disfruta su sabor único y saludable.",,
P-WEB-PRO-004,CARNE DE RES DESHEBRADA 500 G,PROTEINA ANIMAL, $171.00 ,https://drive.google.com/file/d/19cwOpkbuXTXpPHD3eKyk95cc8aWdciT3/view?usp=drive_link,"Disfruta esta deshebrada de res de Rancho 555, expertos en ganadería regenerativa con más de 15 años regenerando suelos y ecosistemas en Veracruz. ¡Elige sustentable!",,
P-WEB-PRO-005,CARNE DE RES MOLIDA 500 G,PROTEINA ANIMAL, $171.00 ,https://drive.google.com/file/d/1ZdQMj6ZAENBZ8VZG9kgb4BsbsACFpKqH/view?usp=drive_link,"Proteína producida por Rancho Triple Cinco, empresa mexicana con más de 15 años de experiencia en ganadería regenerativa, regenerando suelo y ecosistemas en Veracruz.",,
P-WEB-PRO-006,CARNE DE RES PARA HAMBURGUESA DE ORIGEN REGENERATIVO 400 G,PROTEINA ANIMAL, $198.00 ,https://drive.google.com/file/d/1x5gIRRMTSz_AcWt6xmYYK12hJ_kncUoj/view?usp=drive_link,"La Canasta Básica Familiar es nuestro combo más completo, con aproximadamente 13 kg de una selección de verduras frescas y frutas de temporada, así como productos básicos de despensa para asegurar que todos en casa disfruten de alimentos nutritivos y de origen local.",,
P-WEB-PRO-022,CARNITAS EN MANTECA MADRE CON TORTILLAS,PROTEINA ANIMAL, $445.00 ,https://drive.google.com/file/d/11Z9Jm_8MPvcpPtvUV_XyzbTbXRj-LlBV/view?usp=drive_link,"Prueba estas carnitas preparadas en manteca madre, listas para disfrutarse. Criados en el corazón del bosque seco tropical veracruzano, los cerdos de Rancho Risueño disfrutan de una vida libre, pastoreando entre más de 60 plantas nativas que impregnan la carne con aromas únicos y profundos sabores silvestres. Incluye una docena de tortillas de maíz azul.",,
P-WEB-SEC-014,CEBOLLINO DESHIDRATADO 20 G,ESPECIAS, $76.00 ,https://drive.google.com/file/d/1prXKJ7oAEz33VmLuqcc3xZFXU4PZ2l7w/view?usp=drive_link,"Cebollino deshidratado, producido agroecológicamente en Veracruz.

Es un gran sazonador de alimentos, con versatilidad en sus aplicaciones, que aporta un sabor ligero a cebolla.",,
P-WEB-SEC-015,CHIA 100 G,"GRANOS, SEMILLAS Y CEREALES", $30.00 ,https://drive.google.com/file/d/1fMgH9n24zww27ZaJSzCjFCusqVB40UJz/view?usp=drive_link,"Chía orgánica provienen de las faldas del Iztaccíhuatl, en Ozumba. Aprovecha para llenar tu despensa de forma saludable. Compra al granel a partir de 100gr.",Semillas Chía Natural Orgánica Granel 100gr | Arca Tierra," Adquiere chía orgánica de las laderas del Iztaccíhuatl, en Ozumba. Aprovecha para abastecer tu despensa con salud. Disponible al granel desde 100 gramos."
P-WEB-SEC-020,CLAVO DE OLOR 50 G,ESPECIAS, $28.00 ,https://drive.google.com/file/d/1VnOL5BIDDXz71mrzhkXkf2llQexMEn-q/view?usp=drive_link,,,
P-WEB-SEC-081,COMINO,ESPECIAS, $78.00 ,https://drive.google.com/file/d/1QMcETDhx8FOBX0HtHyzXixOizaNe3gdQ/view?usp=drive_link,,,
P-WEB-PRO-007,COSTILLA DE RES 1.5 KG,PROTEINA ANIMAL, $315.00 ,https://drive.google.com/file/d/1o_gVI5i4uYBUoyafVIyHG1T7mzbKaxe7/view?usp=drive_link,,,
P-WEB-SEC-022,CURCUMA 55 G,ESPECIAS, $80.00 ,https://drive.google.com/file/d/1lcY8PMvOHK8eXVCXPwK6TsO1nUt4cEqx/view?usp=drive_link,,,
P-WEB-SEC-023,CURRY 55 G,ESPECIAS, $85.00 ,,,,
P-WEB-ABA-002,DESINFECTANTE FRUTAS Y VERDURAS 15 ML,ABARROTES, $18.00 ,https://drive.google.com/file/d/1jQFEGYbfSc8y8EMfgG4BNc1LaL2ouLlt/view?usp=drive_link,,,
P-WEB-ABA-003,DESINFECTANTE FRUTAS Y VERDURAS 240 ML,ABARROTES, $95.00 ,https://drive.google.com/file/d/13RZ9ZwLM78oOv_QLdO33L5PPl0iOk5OU/view?usp=drive_link,,,
P-WEB-SEC-021,DULCE DE LECHE DE OVEJA 330 G,MERMELADAS Y UNTABLES, $155.00 ,https://drive.google.com/file/d/1CpEAazPzh9SO7z73NwqOv9S1we1YXWwk/view?usp=drive_link,,,
P-WEB-SEC-024,FETTUCCINI INTEGRAL ORGANICO 380 G,PASTAS, $88.00 ,https://drive.google.com/file/d/1xRSc_txpyflJieasg4gY_F-9oGVEFPYG/view?usp=drive_link,,,
P-WEB-PRO-008,FILETE DE RES 1 KG,PROTEINA ANIMAL, $280.00 ,https://drive.google.com/file/d/1bNc3fSinjVmbYakotC4pAf2OASYV14mB/view?usp=drive_link,,,
P-WEB-SEC-036,FLOR DE JAMAICA 500 G,INFUSIONES Y TE , $45.00 ,https://drive.google.com/file/d/1ETm5_n3Be5dVIBQrNLLCNin1K3x21xSd/view?usp=drive_link,,,
P-WEB-SEC-025,FRIJOL NEGRO 500 G,"GRANOS, SEMILLAS Y CEREALES", $39.00 ,https://drive.google.com/file/d/1U_ZU1p7eyMiEacHJty4WZ91i08yO0YlY/view?usp=drive_link,,,
P-WEB-SEC-026,FRIJOL PINTO SALTILLO 500 G,"GRANOS, SEMILLAS Y CEREALES", $40.00 ,,,,
P-WEB-SEC-084,GALLETA DE MAIZ Y ANIS 50G,"GALLETAS, HARINAS Y PAN", $40.00 ,,,,
P-WEB-SEC-075,GALLETAS DE MAIZ  Y JENGIBRE 50 G,"GALLETAS, HARINAS Y PAN", $40.00 ,https://drive.google.com/file/d/118a4NElHrVaQLgRyYdbIcblKviEB_MQ7/view?usp=drive_link,,,
P-WEB-SEC-076,GALLETAS DE MAIZ  Y NARANJA 50 G,"GALLETAS, HARINAS Y PAN", $40.00 ,,,,
P-WEB-SEC-078,"GALLETAS DE MAIZ , TASCALATE, JENGIBRE Y ANIS 200 G","GALLETAS, HARINAS Y PAN", $160.00 ,,,,
P-WEB-SEC-077,"GALLETAS DE MAIZ, CACAO Y PATLAXTLE 100 G","GALLETAS, HARINAS Y PAN", $79.00 ,https://drive.google.com/file/d/1SVpjoKodBodKnJ7qcdUU_OIsgraEsFeB/view?usp=drive_link,,,
P-WEB-SEC-028,GARBANZO 500 G,"GRANOS, SEMILLAS Y CEREALES", $38.00 ,https://drive.google.com/file/d/1UlKtZ8xWx48G2Bd5ysR1SVcyMOn1CX9W/view?usp=drive_link,,,
P-WEB-SEC-029,GRANOLA ARTESANAL 900 G,"GRANOS, SEMILLAS Y CEREALES", $166.50 ,https://drive.google.com/file/d/1nc-ewSGwKvLE2-6do9NHJIPCsUHBlAmm/view?usp=drive_link,,,
P-WEB-SEC-030,HARINA DE TRIGO INTEGRAL 500 G,"GALLETAS, HARINAS Y PAN", $44.00 ,,,,
P-WEB-SEC-031,HARINA INTEGRAL DE SORGO 500 G,"GALLETAS, HARINAS Y PAN", $27.00 ,,,,
P-WEB-SEC-032,HARINA PARA HOT CAKES CON TRIGO Y MACADAMIA 500 G,"GALLETAS, HARINAS Y PAN", $110.00 ,,,,
P-WEB-ABA-007,HOGAZA CAMPESINA,"GALLETAS, HARINAS Y PAN", $130.00 ,,,,
P-WEB-SEC-083,HOJA DE LAUREL 60 G,ESPECIAS, $78.00 ,,,,
P-WEB-SEC-034,HOJUELAS DE CHILE 50 G,ESPECIAS, $91.00 ,,,,
P-WEB-PRO-009,HUEVO ORGANICO DE LIBRE PASTOREO,PROTEINA ANIMAL, $7.60 ,,,,
P-WEB-SEC-035,JALEA DE ROSAS 255 G,MERMELADAS Y UNTABLES, $104.00 ,,,,
