SKU,PRODUCTO,CATEGORIA,DESCRIPCIÓN DE PRODUCTO,META TITLE,META DESCRIPTION
P-WEB-PRO-001,ARRACHERA  500 G,Proteínas Regenerativas,,Arrachera de Res de Origen Regenerativo 500 g | Arca Tierra,"Ideal para asar. Esta arrachera de origen regenerativo proviene del rancho de Santa Pradera, ubicados en Capilla de Guadalupe, Jalisco. "
P-WEB-SEC-003,ARROZ BLANCO 500 G,Granos y cereales integrales,"El arroz agroecológico de Morelos cuenta con denominación de origen desde el año 2012 y es uno de mayor calidad a nivel mundial. Producido por el Consorcio Arrocero Morelense, es ideal para tus guisos y postres.",Arroz Blanco de Morelos 500 g I Arca Tierra,Arroz agroecológico proveniente de Morelos. Uno de los arroces más nutritivos y ricos de México. Compra a granel a partir de 500gr.
P-WEB-SEC-004,ARROZ INTEGRAL 500 G,Granos y cereales integrales,"El arroz agroecológico de Morelos cuenta con denominación de origen desde el año 2012 y es uno de mayor calidad a nivel mundial. Contiene más fibra, vitamina B y minerales (como magnesio, hierro, zinc) que el arroz blanco. Producido por el Consorcio Arrocero Morelense, es ideal para tus guisos y postres.",Arroz Integral de Morelos 500 g I Arca Tierra,Arroz agroecológico proveniente de Morelos. Uno de los arroces más nutritivos y ricos de México. Compra a granel a partir de 500gr.
P-WEB-SEC-005,AVENA 500 G,Granos y cereales integrales,"Adquiere hojuelas de avena orgánica cultivadas mediante prácticas agroecológicas en el municipio de Mocorito, Sinaloa. Disponible para compra al granel a partir de 500 gramos.",Avena Orgánica en Hojuelas al Granel 500gr | Arca Tierra,"Avena orgánica en hojuelas, cultivada con métodos agroecológicos. Proveniente del municipio de Mocorito en Sinaloa. Cómprala al granel a partir de 500grs. "
P-WEB-SEC-079,AZUCAR ORGANICA ZULKA 500 G,ENDULZANTES,"Prueba esta opción de azúcar de pura de caña certificado como orgánico por USDA y verificado por el Proyecto Non-GMO, que se cultiva y cosecha mediante métodos agrícolas respetuosos con el medio ambiente. Este método de cultivo orgánico garantiza una mayor conservación de los nutrientes, ya que está libre de elementos artificiales o químicos durante todo el proceso.
",Azúcar pura de caña y certificación orgánica  | Arca Tierra,"Compra esta azúcar pura de caña producida en Sinaloa con certificación orgánica. Libre de elementos artificiales, ideal para endulzar tus bebidas y alimentos."
P-WEB-PRO-002,BISTEC DE RES 500 G,PROTEINA ANIMAL,"Disfruta el bistec de carne de res de Rancho 555, expertos en ganadería regenerativa con más de 15 años regenerando suelos y ecosistemas en Veracruz. 

Ideal para asar o cocinar en guisados sencillos y deliciosos.",Bistec de Res de Origen Regenerativo 500 g | Arca Tierra,
P-WEB-SEC-006,CACAHUATE 100 G,"GRANOS, SEMILLAS Y CEREALES","Abastece tu despensa con cacahuetes naturales agroecológicos y disfruta de su auténtico sabor, crujiente y saludable. Adquiérelos al granel desde 100 gramos.",Cacahuate Natural Orgánico al Granel 100 g | Arca Tierra,
P-WEB-SEC-007,CACAO EN POLVO 250 G,"CAFE, CACAO Y CHOCOLATE","Descubre el cacao en polvo orgánico 100% mexicano. Sin azúcares añadidos, elaborado únicamente con cacao puro y orgánico de Comacalco, Tabasco. Presentación de 250 gramos.",Cacao Orgánico en Polvo Sin Azúcar 250 g | Arca Tierra,"Cacao en polvo orgánico 100% mexicano. Libre de azúcares, su único ingrediente es cacao puro y orgánico. Proveniente de Comacalco, Tabasco. Contiene 250 gramos."
P-WEB-SEC-008,CACAO EN POLVO 500 G,"CAFE, CACAO Y CHOCOLATE","Descubre el cacao en polvo orgánico 100% mexicano. Sin azúcares añadidos, elaborado únicamente con cacao puro y orgánico de Comacalco, Tabasco. Presentación de 500 gramos.",Cacao Orgánico en Polvo Sin Azúcar 500 g | Arca Tierra,"Cacao en polvo orgánico 100% mexicano. Libre de azúcares, su único ingrediente es cacao puro y orgánico. Proveniente de Comacalco, Tabasco. Contiene 500 gramos."
P-WEB-SEC-009,CAFE DE GRANO 500 G,"CAFE, CACAO Y CHOCOLATE","Descubre nuestro café orgánico tostado de primera calidad, con un tostado perfecto que realza su sabor. Presentación en grano para conservar su frescura y moler en casa. Está disponible desde 500 g.
",Café Serenata Tostado Orgánico en Grano 500gr | Arca Tierra,"Café orgánico tostado de la mejor calidad: con tostado óptimo que realza su sabor. Presentación en grano, para moler en casa. Disponible a partir de 500 g."
P-WEB-SEC-011,CAFE MOLIDO 500 G,"CAFE, CACAO Y CHOCOLATE","Descubre nuestro café orgánico tostado de primera calidad, con un tostado perfecto que realza su sabor. Molido para preparar en casa, disfrutando lo mejor.",Café Serenata Tostado Orgánico Molido 500 g | Arca Tierra,Café orgánico tostado de la mejor calidad: con tostado óptimo que realza su sabor. Ya viene molido para su fácil preparación. Disponible a partir de 500 g.
P-WEB-SEC-085,CALDO DE HUESO 9 G,PROTEINA ANIMAL,"Caldo de huesos listo para consumir.Esta rica infusión mineral está hecha con huesos de carne de animales sanos que se cuecen lentamente a baja temperartura por ma?s de 18 horas y pasa por proceso de liofilizacio?n conservando sus propiedades. 

Paleo · Keto · SIN Gluten
Sin Conservadores, sin Saborizantes , sin Hormonas

Mejora la salud intestinal y la digestión.
Ayuda en la reparación y el crecimiento muscular. 

Para consumir, sólo vierte el contenido del sobre en una taza (240ml) de agua bien caliente, mezcla con una cuchara y esta listo.
Se puede agregar limón o condimentar al gusto.
",Caldo de huesos natural liofilizado en polvo | Arca Tierra,Disfruta de esta rica infusio?n mineral hecha naturalmente con huesos y carne de animales sanos. Un forma deliciosa de mejorar tu salud intestinal y digestiva.
P-WEB-PRO-021,CALDO DE HUESO DE RES 700 ML,PROTEINA ANIMAL,"Delicioso caldo de huesos elaborado con carne  y huesos de res de Rancho Risueño, sazonado con cebolla, ajo, pimienta negra, apio, zanahoria, vinagre de manzana y flor de sal de Colima. Producto congelado. El caldo de huesos aporta minerales, aminoácidos y colágeno. Contribuyen a la salud de articulaciones, piel, cabello, uñas y sistema digestivo. ",Caldo de Huesos de Res Risueño 500 ml l Arca Tierra, Disfruta de un caldo de huesos delicioso y saludable producido en Veracruz con huesos de carne de res de origen megadiverso.
P-WEB-SEC-012,CANELA 50 G,ESPECIAS,"Esta canela entera proviene del Consorcio Morelense Santa Anita, una comunidad comprometida con prácticas agroecológicas que cuidan la tierra y tu salud. Cultivada sin agroquímicos, secada al sol y seleccionada a mano, su aroma es cálido, intenso y natural.
Perfecta para infusiones, postres, guisos o para perfumar tu cocina con lo que el campo sabe dar.

",,
,CANELOS,,,,
P-WEB-SEC-013,CARDAMOMO 20 G,ESPECIAS,"Este cardamomo proviene de Chiapas, donde se cultiva bajo prácticas agroecológicas que respetan la tierra y la biodiversidad local. Su producción fomenta el comercio justo, asegurando mejores condiciones para las familias productoras.

Con un aroma intenso y especiado, es ideal para infusiones, currys, repostería y mezclas de chai casero.",,
P-WEB-PRO-003,CARNE DE PAVO PARA HAMBURGUESA 500 G,PROTEINA ANIMAL,"Prueba las hamburguesas de pavo regenerativo, criado de manera sostenible por Granja Paraíso Gourmet en Amanalco. Disfruta su sabor único y saludable.",,
P-WEB-PRO-004,CARNE DE RES DESHEBRADA 500 G,PROTEINA ANIMAL,"Disfruta esta deshebrada de res de Rancho 555, expertos en ganadería regenerativa con más de 15 años regenerando suelos y ecosistemas en Veracruz. ¡Elige sustentable!",,
P-WEB-PRO-005,CARNE DE RES MOLIDA 500 G,PROTEINA ANIMAL,"Proteína producida por Rancho Triple Cinco, empresa mexicana con más de 15 años de experiencia en ganadería regenerativa, regenerando suelo y ecosistemas en Veracruz.",,
P-WEB-PRO-006,CARNE DE RES PARA HAMBURGUESA DE ORIGEN REGENERATIVO 400 G,PROTEINA ANIMAL,"La Canasta Básica Familiar es nuestro combo más completo, con aproximadamente 13 kg de una selección de verduras frescas y frutas de temporada, así como productos básicos de despensa para asegurar que todos en casa disfruten de alimentos nutritivos y de origen local.",,
P-WEB-PRO-022,CARNITAS EN MANTECA MADRE CON TORTILLAS,PROTEINA ANIMAL,"Prueba estas carnitas preparadas en manteca madre, listas para disfrutarse. Criados en el corazón del bosque seco tropical veracruzano, los cerdos de Rancho Risueño disfrutan de una vida libre, pastoreando entre más de 60 plantas nativas que impregnan la carne con aromas únicos y profundos sabores silvestres. Incluye una docena de tortillas de maíz azul.",,
P-WEB-SEC-014,CEBOLLINO DESHIDRATADO 20 G,ESPECIAS,"Cebollino deshidratado, producido agroecológicamente en Veracruz.

Es un gran sazonador de alimentos, con versatilidad en sus aplicaciones, que aporta un sabor ligero a cebolla.",,
P-WEB-SEC-015,CHIA 100 G,"GRANOS, SEMILLAS Y CEREALES","Chía orgánica provienen de las faldas del Iztaccíhuatl, en Ozumba. Aprovecha para llenar tu despensa de forma saludable. Compra al granel a partir de 100gr.",Semillas Chía Natural Orgánica Granel 100gr | Arca Tierra," Adquiere chía orgánica de las laderas del Iztaccíhuatl, en Ozumba. Aprovecha para abastecer tu despensa con salud. Disponible al granel desde 100 gramos."
P-WEB-SEC-020,CLAVO DE OLOR 50 G,ESPECIAS,,,
P-WEB-SEC-081,COMINO,ESPECIAS,,,
P-WEB-PRO-007,COSTILLA DE RES 1.5 KG,PROTEINA ANIMAL,,,
P-WEB-SEC-022,CURCUMA 55 G,ESPECIAS,,,
P-WEB-SEC-023,CURRY 55 G,ESPECIAS,,,
P-WEB-ABA-002,DESINFECTANTE FRUTAS Y VERDURAS 15 ML,ABARROTES,,,
P-WEB-ABA-003,DESINFECTANTE FRUTAS Y VERDURAS 240 ML,ABARROTES,,,
P-WEB-SEC-021,DULCE DE LECHE DE OVEJA 330 G,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-024,FETTUCCINI INTEGRAL ORGANICO 380 G,PASTAS,,,
,FUSSILI,,,,
P-WEB-PRO-008,FILETE DE RES 1 KG,PROTEINA ANIMAL,,,
P-WEB-SEC-036,FLOR DE JAMAICA 500 G,INFUSIONES Y TE ,,,
P-WEB-SEC-025,FRIJOL NEGRO 500 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-026,FRIJOL PINTO SALTILLO 500 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-084,GALLETA DE MAIZ Y ANIS 50G,"GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-075,GALLETAS DE MAIZ  Y JENGIBRE 50 G,"GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-076,GALLETAS DE MAIZ  Y NARANJA 50 G,"GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-078,"GALLETAS DE MAIZ , TASCALATE, JENGIBRE Y ANIS 200 G","GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-077,"GALLETAS DE MAIZ, CACAO Y PATLAXTLE 100 G","GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-028,GARBANZO 500 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-029,GRANOLA ARTESANAL 900 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-030,HARINA DE TRIGO INTEGRAL 500 G,"GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-031,HARINA INTEGRAL DE SORGO 500 G,"GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-032,HARINA PARA HOT CAKES CON TRIGO Y MACADAMIA 500 G,"GALLETAS, HARINAS Y PAN",,,
P-WEB-ABA-007,HOGAZA CAMPESINA,"GALLETAS, HARINAS Y PAN",,,
P-WEB-SEC-083,HOJA DE LAUREL 60 G,ESPECIAS,,,
P-WEB-SEC-034,HOJUELAS DE CHILE 50 G,ESPECIAS,,,
P-WEB-PRO-009,HUEVO ORGANICO DE LIBRE PASTOREO,PROTEINA ANIMAL,,,
P-WEB-SEC-035,JALEA DE ROSAS 255 G,MERMELADAS Y UNTABLES,,,
P-WEB-PRO-023,JAMÓN DE PECHUGA DE PAVO 250 G,PROTEINA ANIMAL,,,
P-WEB-SEC-037,JENGIBRE 50 G,ESPECIAS,,,
P-WEB-LAC-005,LECHE ENTERA DE VACA 1 L,HUEVO Y LÁCTEOS,,Leche de Nuez Orgánica y Miel de Maguey 500 ml I Arca Tierra,"Leche de nuez, elaborada con nuez orga?nica y endulzada con miel de maguey. De cultivo orgánico y procesada en frío."
P-WEB-LAC-006,LECHE SEMIDESCREMADA DE VACA 1 L,HUEVO Y LÁCTEOS,,Leche semidescremada de vaca presentacion 1L | Arca Tierra,"Leche de vacas de libre pastoreo, con mayor cantidad de omega 3 y vitamina E, y mejor calidad de nutrientes en comparación con la leche convencional."
P-WEB-SEC-038,LENTEJA 500 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-PRO-018,LOMO DE CERDO 1 KG,PROTEINA ANIMAL,,,
P-WEB-SEC-039,MACADAMIA 100 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-PRO-019,MANTECA DE CERDO,ACEITES Y GRASAS,,,
P-WEB-SEC-041,MANTEQUILLA DE CACAHUATE CACAO 272 ML,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-042,MANTEQUILLA DE CACAHUATE CRUNCHY 272 ML,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-043,MELISA PARA TE 50 G,INFUSIONES Y TE ,,,
P-WEB-SEC-044,MENTAS PARA TE 50 G,INFUSIONES Y TE ,,,
P-WEB-SEC-045,MERMELADA DE HIGO 300 G,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-046,MERMELADA DE JAMAICA 300 G,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-047,MERMELADA DE NARANJA 300 G,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-048,MERMELADA GUAYABAMIEL 300 G,MERMELADAS Y UNTABLES,,,
P-WEB-SEC-049,MEZCLA DE FLORES DE AZAHAR Y HIERBAS 50 G,INFUSIONES Y TE ,,,
P-WEB-SEC-050,MEZCLA DE MENTAS Y JENGIBRE DESHIDRATADOS 50 G,INFUSIONES Y TE ,,,
P-WEB-SEC-051,MIEL DE LAS CHINAMPAS 250 G,ENDULZANTES,,,
P-WEB-PRO-017,MILANESA DE CERDO,PROTEINA ANIMAL,,,
P-WEB-PRO-010,MILANESA DE POLLO 500 G,PROTEINA ANIMAL,,,
P-WEB-SEC-052,MOSTAZA DE ESTRAGON 150 ML,CONDIMENTOS,,,
P-WEB-SEC-053,MOSTAZA DIJON 255 ML,CONDIMENTOS,,,
P-WEB-SEC-054,NIBS DE CACAO 100 G,CACAO Y CHOCOLATE,,,
P-WEB-SEC-055,NUEZ PECANA 100 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-056,OREGANO 50 G,ESPECIAS,,,
P-WEB-PRO-011,OSSOBUCO DE RES 1 KG,PROTEINA ANIMAL,,,
P-WEB-PRO-012,PECHUGA DE POLLO ENTERA CON HUESO 650 G,PROTEINA ANIMAL,,,
P-WEB-SEC-058,PEPITA DE CALABAZA 100 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-033,PEREJIL DESHIDRATADO 20 G,ESPECIAS,,,
P-WEB-PRO-013,PICAÑA DE RES 1.5 KG,PROTEINA ANIMAL,,,
P-WEB-SEC-059,PILONCILLO GRANULADO 250 G,ENDULZANTES,,,
P-WEB-SEC-060,PIMIENTA CAYENA 50 G,ESPECIAS,,,
P-WEB-SEC-061,PIMIENTA GORDA 50 G,ESPECIAS,,,
P-WEB-SEC-082,PIMIENTA NEGRA MOLIDA,ESPECIAS,,,
P-WEB-SEC-062,POLEN 40 ML,TE Y HIERBAS MEDICINALES,,,
P-WEB-SEC-063,PROPOLEO 70 G,TE Y HIERBAS MEDICINALES,,,
P-WEB-LAC-007,QUESO MANCHEGO 1 KG,HUEVO Y LACTEOS,,Queso manchego artesanal de las chinampas 1 k  | Arca Tierra,"Queso manchego artesanal, elaborado en Xochimilco. Proviene de vacas en pastoreo, ordeñadas por don Tomás Flores. Sin químicos. Ideal para tabla de quesos."
P-WEB-LAC-009,QUESO MANCHEGO 250 G,HUEVO Y LACTEOS,,Queso manchego artesanal de las chinampas  250 g | Arca Tierra,"Queso manchego artesanal, elaborado en Xochimilco. Proviene de vacas en pastoreo, ordeñadas por don Tomás Flores. Sin químicos. Ideal para tabla de quesos."
P-WEB-LAC-008,QUESO MANCHEGO 500 G,HUEVO Y LACTEOS,,Queso manchego artesanal de las chinampas  500 g | Arca Tierra,"Queso manchego artesanal, elaborado en Xochimilco. Proviene de vacas en pastoreo, ordeñadas por don Tomás Flores. Sin químicos. Ideal para tabla de quesos."
P-WEB-LAC-010,QUESO OAXACA 1 KG,HUEVO Y LACTEOS,,Queso Oaxaca Artesanal de Chinampas 1 k | Arca Tierra,"Queso Oaxaca artesanal, elaborado en Xochimilco. Proviene de vacas en pastoreo, ordeñadas por don Tomás Flores. Sin químicos. Ideal para snack o quesadillas."
P-WEB-LAC-011,QUESO OAXACA 250 G,HUEVO Y LACTEOS,,Queso Oaxaca Artesanal de Chinampas 250 g | Arca Tierra,"Queso Oaxaca artesanal, elaborado en Xochimilco. Proviene de vacas en pastoreo, ordeñadas por don Tomás Flores. Sin químicos. Ideal para snack o quesadillas."
P-WEB-LAC-012,QUESO OAXACA 500 G,HUEVO Y LACTEOS,,Queso Oaxaca Artesanal de Chinampas 500 g | Arca Tierra,"Queso Oaxaca artesanal, elaborado en Xochimilco. Proviene de vacas en pastoreo, ordeñadas por don Tomás Flores. Sin químicos. Ideal para snack o quesadillas."
P-WEB-SEC-065,SAL DE CHAUTENGO 500 G,CONDIMENTOS,,,
P-WEB-SEC-086,SAL DE MANANTIAL 100G,CONDIMENTOS,,,
P-WEB-PRO-024,SALCHICHA DE PECHUGA DE PAVO 250 G,PROTEINA ANIMAL,,,
P-WEB-PRO-015,SALCHICHAS BRATWURST,PROTEINA ANIMAL,,,
P-WEB-PRO-016,SALCHICHAS DE HIERBAS FINAS,PROTEINA ANIMAL,,,
P-WEB-SEC-067,SALSA CATRINA 235 ML,CONDIMENTOS,,,
P-WEB-SEC-073,SEMILLA DE AMARANTO,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-068,SEMILLA DE CARDAMOMO 50 G,"GRANOS, SEMILLAS Y CEREALES",,,
P-WEB-SEC-069,SEMILLA DE GIRASOL 100 G,"GRANOS, SEMILLAS Y CEREALES",,,
,SOPA DE LETRAS,,,,
P-WEB-PRO-014,TOCINO AHUMADO 350 G,PROTEINA ANIMAL,,,
P-WEB-MAI-003,TORTILLA AZUL 600 G,MAIZ,,,
P-WEB-MAI-004,TORTILLA BLANCA 600 G,MAIZ,,,
P-WEB-SEC-070,VINAGRE DE MANZANA 250 ML,CONDIMENTOS,,,
P-WEB-SEC-071,VINAGRE DE MUCILAGO DE CACAO 250 ML,CONDIMENTOS,,,
P-WEB-LAC-013,YOGURT DE VACA 480 G,HUEVO Y LACTEOS,,,
P-WEB-LAC-014,YOGURT GRIEGO DE VACA 480 G,HUEVO Y LACTEOS,,Yogur griego de leche orgánica de vaca 480 g | Arca Tierra,"Yogur griego orgánico de leche de vaca, cremoso y espeso. Ideal para desayunos, aderezos, salsas y agregar acidez a tus platillos favoritos."
P-WEB-SEC-072,ZACATE LIMON DESHIDRATADO PARA TE 50 G,TE Y HIERBAS MEDICINALES,,,
P-WEB-VEG-001,ACELGA COMUN 200 G,Frutas y Verduras a Granel,,,
P-WEB-VEG-002,AGUACATE CRIOLLO 500 G,Frutas y Verduras a Granel,,,
P-WEB-VEG-003,AJO 100 G,Frutas y Verduras a Granel,,,
